id,source_document,source_page_number,primary_law_act,topic,chunk_text,keywords
80,"Labour Act.pdf",97,"Trade Unions Act, 1926","Purpose and Registration","The Act provides for the registration of trade unions to render lawful the organization of labour for collective bargaining. It also confers certain protections and privileges on registered unions. Registration is not compulsory but is desirable. A minimum of seven workers can form a trade union and apply for registration.","Trade Unions Act, purpose, registration, collective bargaining, privileges, seven members"
81,"Labour Act.pdf",98,"Trade Unions Act, 1926","Legal Status of Registered Union","A registered trade union is a body corporate with perpetual succession and a common seal. It can acquire and hold property, enter into contracts, and sue and be sued in its own name. Its members are granted immunity from civil suits in respect of acts done in furtherance of a trade dispute.","Trade Unions Act, legal status, body corporate, immunity, property, sue"
82,"Labour Act.pdf",99,"Trade Unions Act, 1926","Office Bearers and Funds","At least 50% of the office bearers of a union must be actually employed in the industry with which the union is concerned. The general funds of a union can only be spent on specified objects like salaries, administrative expenses, conduct of trade disputes, and member benefits. A separate political fund can be set up, to which contributions are not compulsory.","Trade Unions Act, office bearers, funds, general fund, political fund, expenditure"
83,"Labour Act.pdf",100,"Trade Unions Act, 1926","Obligations of Registered Union","A registered trade union must keep its account books and membership register open for inspection by office-bearers. It must send any alterations to its rules to the Registrar within 15 days. An audited annual statement of receipts, expenditure, assets, and liabilities must be sent to the Registrar.","Trade Unions Act, obligations, account books, annual statement, audit, registrar"
84,"Labour Act.pdf",101,"Shops and Establishment Act","Object and Applicability","The Shops and Establishment Act is a state legislation that provides statutory obligations and rights to employees and employers in the unorganized sector. It is applicable to all persons employed in an establishment, with or without wages, except the employer's family members.","Shops and Establishment Act, objective, applicability, state legislation, unorganized sector"
85,"Labour Act.pdf",101,"Shops and Establishment Act","Regulations","The Act lays down rules for working hours per day and week, rest intervals, opening and closing hours, closed days, holidays, and overtime work. It also has rules for the employment of children, young persons, and women, and regulations for annual leave, maternity leave, and termination of service.","Shops and Establishment Act, regulations, working hours, leave, holidays, women, children, termination"
86,"Labour Act.pdf",102,"Shops and Establishment Act","Registration (Bombay Act)","Under the Bombay Shops & Establishment Act, 1948, registration of an establishment is done using Form 'A'. The registration certificate must be renewed periodically using Form 'B'. Any changes to the original information must be reported using Form 'E'. The certificate can be renewed for one or three years at a time.","Shops and Establishment Act, Bombay, registration, renewal, Form A, Form B"
87,"Labour Act.pdf",104,"Payment of Wages Act, 1936","Application and Wage Ceiling","The Act applies to persons employed in factories, railways, and other specified industrial or other establishments. It applies to wages payable to an employee if such wages do not exceed Rs 6,500 per month (or a higher sum as notified by the Central Government).","Payment of Wages Act, applicability, wage ceiling, Rs 6500, factory, railway"
88,"Labour Act.pdf",105,"Payment of Wages Act, 1936","Definition of Wages","'Wages' means all remuneration expressed in money, including any remuneration payable under an award, for overtime work, or any additional remuneration under the terms of employment. It does not include bonus not part of remuneration, value of house-accommodation, employer's contribution to PF, or travelling allowance.","Payment of Wages Act, definition, wages, inclusions, exclusions, remuneration"
89,"Labour Act.pdf",107,"Payment of Wages Act, 1936","Time of Payment","Wages must be paid before the expiry of the 7th day after the last day of the wage period if less than 1000 persons are employed, and before the 10th day if 1000 or more are employed. If employment is terminated, wages earned must be paid before the expiry of the second working day. The wage period cannot exceed one month.","Payment of Wages Act, time of payment, wage period, 7th day, 10th day, termination"
90,"Labour Act.pdf",108,"Payment of Wages Act, 1936","Permissible Deductions","Deductions from wages can only be made in accordance with the Act. Permissible deductions include fines (not exceeding 3% of wages), deductions for absence from duty, damage or loss, house-accommodation, recovery of advances, income tax, and subscriptions to provident funds or cooperative societies.","Payment of Wages Act, deductions, permissible, fines, absence, damage, advances, income tax"
91,"Labour Act.pdf",114,"Minimum Wages Act, 1948","Objective and Fixation","The Act provides for the fixation of minimum wages in certain employments listed in a schedule. Both Central and State Governments are 'Appropriate Governments' for fixing/revising minimum rates of wages. Rates are revised at an interval not exceeding five years and often include a Variable Dearness Allowance (VDA) linked to the Consumer Price Index.","Minimum Wages Act, objective, fixation, revision, scheduled employment, VDA"
92,"Labour Act.pdf",114,"Minimum Wages Act, 1948","Employer's Obligations","An employer must pay every employee the minimum wages fixed by the Government in cash. They must pay double the rate for work in excess of 9 hours a day or 48 hours a week. A register of wages must be maintained, and wage slips must be issued. A notice with minimum wage rates and abstracts of the Act must be displayed.","Minimum Wages Act, employer obligations, pay wages, overtime, maintain register, display notice"
93,"Labour Act.pdf",116,"Minimum Wages Act, 1948","Components of Minimum Wage","The minimum rate of wages fixed or revised can consist of: a basic rate and a special allowance (cost of living allowance); a basic rate with or without the allowance and the cash value of concessions; or an all-inclusive rate. The government may fix rates by the hour, day, month, or other wage period.","Minimum Wages Act, components, basic rate, special allowance, cost of living, concessions"
94,"Labour Act.pdf",118,"Child Labour Laws","Background and Policy","Based on the Gurupadswamy Committee recommendations, the government enacted the Child Labour (Prohibition & Regulation) Act in 1986. The National Policy on Child Labour (1987) follows a gradual approach, focusing first on rehabilitating children from hazardous occupations. The policy includes a legislative action plan, focusing general development programs, and a project-based plan of action (like the NCLP).","Child Labour, policy, Gurupadswamy Committee, Child Labour Act 1986, NCLP"
95,"Labour Act.pdf",120,"Child Labour (Prohibition and Regulation) Act, 1986","Prohibition","The Act prohibits the engagement of children below the age of fourteen years in specified hazardous occupations (Part A of the Schedule) and processes (Part B of the Schedule). The list of hazardous occupations is progressively expanded. This prohibition does not apply to a workshop where the process is carried on by the occupier with the aid of his family.","Child Labour Act 1986, prohibition, hazardous occupations, processes, child, age 14"
96,"Labour Act.pdf",121,"Child Labour (Prohibition and Regulation) Act, 1986","Working Conditions Regulation","For children working in non-prohibited establishments, the Act regulates working conditions. The period of work shall not exceed three hours without at least a one-hour rest interval. Total work, including rest, cannot spread over more than six hours. Work between 7 p.m. and 8 a.m. is prohibited, as is overtime. A weekly holiday is mandatory.","Child Labour Act 1986, regulation, working hours, rest interval, night work, overtime, weekly holiday"
97,"Labour Act.pdf",122,"Child Labour (Prohibition and Regulation) Act, 1986","Employer Obligations and Penalties","Every occupier must maintain a register of children employed (Form A), showing their name, date of birth, hours of work, and nature of work. Employing a child in contravention of the Act is punishable with imprisonment (3 months to 1 year) or a fine (Rs. 10,000 to Rs. 20,000) or both.","Child Labour Act 1986, employer obligations, register, penalty, imprisonment, fine"
98,"Labour Act.pdf",127,"Child Labour (Prohibition and Regulation) Act, 1986","Recent Ban Expansion","From October 10, 2006, the ban on child labour was extended to employment as domestic servants or in dhabas, restaurants, hotels, motels, teashops, resorts, and other recreational centers. Government servants are also prohibited from employing children as domestic servants. A toll-free 24-hour helpline, 1098, is available for children in distress.","Child Labour Act 1986, ban, domestic servant, dhabas, restaurants, helpline 1098"
99,"Labour Act.pdf",129,"Contract Labour (Regulation and Abolition) Act, 1970","Applicability","The Act regulates the employment of contract labourers. It applies to every establishment which engages 20 or more persons as contract labour on any day of the preceding 12 months. It is also applicable to contractors who employ or have employed 20 or more workmen.","Contract Labour Act, applicability, contract labour, establishment, contractor, 20 workmen"
100,"Labour Act.pdf",130,"Contract Labour (Regulation and Abolition) Act, 1970","Registration and Licensing","Every principal employer of an establishment to which this Act applies must obtain a certificate of registration. No contractor to whom this Act applies shall undertake any work without a licence issued by a licensing officer. The principal employer should only engage workmen through licensed contractors.","Contract Labour Act, registration, licensing, principal employer, contractor, certificate"
101,"Labour Act.pdf",130,"Contract Labour (Regulation and Abolition) Act, 1970","Responsibility for Wages and Facilities","The principal employer must nominate a representative to be present during the disbursement of wages by the contractor. If the contractor fails to provide facilities like rest rooms, canteen, drinking water, latrines, and first aid, the principal employer is liable to provide them.","Contract Labour Act, wages, facilities, principal employer, contractor, liability"
102,"Labour Act.pdf",131,"Contract Labour (Regulation and Abolition) Act, 1970","Records and Returns","The principal employer must maintain a register of contractors and file an annual return. The contractor must maintain registers of persons employed, muster roll, wages, deductions, fines, advances, and overtime. The contractor must file half-yearly returns.","Contract Labour Act, records, returns, registers, principal employer, contractor"
103,"Labour Act.pdf",132,"Maternity Benefit Act, 1961","Object and Applicability","The Act regulates the employment of women for certain periods before and after childbirth and provides for maternity and other benefits. It applies to factories, mines, plantations, and shops/establishments with 10 or more employees. It does not apply to employees covered by the ESI Act.","Maternity Benefit Act, objective, applicability, women, childbirth, benefits"
104,"Labour Act.pdf",133,"Maternity Benefit Act, 1961","Eligibility and Benefit Period","To be eligible for maternity benefit, a woman must have worked in an establishment for at least 160 days in the 12 months immediately preceding the date of her expected delivery. The maximum period for which she is entitled to maternity benefit is twelve weeks, which includes six weeks before the delivery and six weeks after.","Maternity Benefit Act, eligibility, 160 days, benefit period, 12 weeks"
105,"Labour Act.pdf",133,"Maternity Benefit Act, 1961","Rate of Benefit","Maternity benefit is paid at the rate of the average daily wage. This is calculated based on her wages during the three calendar months immediately preceding her absence due to maternity, or one rupee a day, whichever is higher.","Maternity Benefit Act, rate, average daily wage, calculation"
106,"Labour Act.pdf",134,"Maternity Benefit Act, 1961","Benefits for Miscarriage and Illness","In the event of a miscarriage, a woman is entitled to leave with wages at the rate of maternity benefit for a period of six weeks immediately following the date of miscarriage. For illness arising out of pregnancy or delivery, she is entitled to leave with wages for a maximum period of one month.","Maternity Benefit Act, miscarriage, illness, leave, wages"
107,"Labour Act.pdf",134,"Maternity Benefit Act, 1961","Protection from Dismissal","It is unlawful for an employer to discharge or dismiss a woman during her absence on account of pregnancy or maternity leave. If she is discharged or dismissed, she is still entitled to receive the maternity benefit or medical bonus, unless she is dismissed for gross misconduct.","Maternity Benefit Act, dismissal, discharge, protection, gross misconduct"
108,"Labour Act.pdf",144,"Industrial Disputes Act, 1947","Unfair Labour Practices by Employers","The Fifth Schedule lists unfair labour practices. For employers, this includes: threatening workmen with discharge if they join a union; establishing employer-sponsored unions; discharging or punishing a workman for legitimate strike participation; discharging workmen by way of victimization or in utter disregard of principles of natural justice; and employing 'badlis' or temporaries for years to deprive them of permanent status.","Unfair Labour Practices, employers, threatening workmen, union busting, victimization, badlis"
109,"Labour Act.pdf",147,"Industrial Disputes Act, 1947","Unfair Labour Practices by Workmen/Unions","For workmen and trade unions, unfair labour practices include: instigating an illegal strike; coercing workmen to join or not join a union; picketing in a way that physically debars non-striking workmen from entering; indulging in acts of force or violence; and staging demonstrations at the residences of employers or managerial staff.","Unfair Labour Practices, workmen, unions, illegal strike, coercion, violence, gherao"
110,"Labour Act.pdf",147,"General Labour Law Introduction","Unorganized Sector Definition","The unorganized sector consists of the workforce that has not been able to organize in pursuit of a common objective due to constraints like the casual nature of employment, ignorance, or illiteracy. This sector is marked by low incomes, unstable employment, and lack of protection from legislation or trade unions. 93% of India's 440 million workers are in this sector.","unorganized sector, definition, casual employment, low income, no protection"
111,"Labour Act.pdf",149,"Unorganized Workers’ Social Security Act, 2008","Purpose and Scope","This Act aims to build a social security system for unorganized workers. It redefines 'worker' to include all types, including self-employed, casual, and home-based workers. It provides for a unique social security number and card, and offers benefits like health insurance, maternity benefit, and pensions.","Unorganized Workers Social Security Act, purpose, social security, health insurance, pension"
112,"Labour Act.pdf",150,"Unorganized Workers’ Social Security Act, 2008","Worker Facilitation Centres","The Act proposes Worker Facilitation Centres to register workers, mobilize membership, secure contributions, and deliver benefits. These centres will be managed by a network of Facilitating Agencies, which can include Self Help Groups, Post Offices, Co-operative societies, Trade Unions, and Panchayats.","Unorganized Workers Social Security Act, Worker Facilitation Centres, registration, benefits delivery"
113,"Labour Act.pdf",152,"Women Labour and the Law","Wage Disparity","Gender inequality persists in India's labour force. The work participation rate of females is 26% compared to 52% for males. In urban areas, a female's average wage is 75% of a male's, while in rural areas, it is only 58%. This wage disparity differs across sectors and education levels.","women labour, wage disparity, gender inequality, participation rate"
114,"Labour Act.pdf",152,"Women Labour and the Law","Legal Protections","Besides the Maternity Benefit Act, most major labour laws apply to women. The Equal Remuneration Act, 1976, provides for equal pay for same or similar work and prohibits discrimination in recruitment. The Factories Act, 1948, has provisions for sanitation, crèches, and restrictions on night work and certain hazardous tasks.","women labour, legal protection, Equal Remuneration Act, Factories Act, safety"
115,"Labour Act.pdf",152,"Women Labour and the Law","Sexual Harassment (Vishakha Guidelines)","In the case of Vishakha Vs. State of Rajasthan (1997), the Supreme Court held that sexual harassment of working women violates rights of gender equality and the right to practice any profession. The judgment laid down the definition of sexual harassment, preventive steps, and a complaint mechanism, which employers are required to implement.","women labour, sexual harassment, Vishakha guidelines, Supreme Court, complaint mechanism"
116,"Labour Act.pdf",157,"Industrial Relations","Concept and Scope","'Industrial Relations' refers to the relationships between employees and employers within an organizational setting. It looks at the interactions between management, workers (particularly those represented by a union), and the government. It covers collective bargaining, trade unionism, and the management of conflict when it arises.","industrial relations, concept, scope, management, workers, union, government"
117,"Labour Act.pdf",158,"Industrial Relations","Perspectives (Unitary, Pluralist, Marxist)","There are three main perspectives on industrial relations. 1) The Unitary view sees the organization as a harmonious 'happy family' where unions are unnecessary. 2) The Pluralist view sees it as composed of divergent sub-groups (management and unions) with legitimate separate interests, where conflict is managed by collective bargaining. 3) The Marxist view sees conflict as inevitable due to the fundamental division between capital and labour in a capitalist society.","industrial relations, perspectives, unitary, pluralist, marxist, conflict model"
118,"Labour Act.pdf",171,"Industrial Relations","Changes in India post-1991 Liberalization","Post-1991 liberalization, India's industrial relations policy shifted from protectionism towards being more employer-friendly. Changes include: decentralized collective bargaining, workforce reduction in some sectors, a shortage of skilled labour in others, a reduction in the influence of unions, and the emergence of new HR policies like multi-skilling and variable compensation.","industrial relations, India, liberalization, post-1991, collective bargaining"
119,"Labour Act.pdf",172,"Employment Agreement","Definition and Contents","An employment agreement is a contract between an employer and an employee that outlines the responsibilities, duties, job profile, and title. A typical agreement includes: names of parties, start date, job description, location, work hours, probationary period, salary, holidays, and notice period.","employment agreement, contract, definition, contents, salary, job description, notice period"
120,"Labour Act.pdf",173,"Employment Agreement","Benefits","An employment agreement benefits both parties. For employees, it assures them of compensation and clarifies expectations. For employers, it ensures employees are informed of their duties and gives the employer control over the employee's departure, allowing time to find a replacement. It can also include confidentiality and non-compete clauses.","employment agreement, benefits, compensation, confidentiality, non-compete"
121,"Labour Act.pdf",175,"Non-Disclosure Agreement","Purpose","A non-disclosure agreement (NDA) or confidentiality agreement is a legal contract where a company gives an employee access to restricted information while preventing its disclosure to third parties. It protects confidential information, such as trade secrets, which gives the company a competitive advantage.","non-disclosure agreement, NDA, confidentiality, trade secret, competitive advantage"
122,"Labour Act.pdf",176,"Non-Disclosure Agreement","Employer Protection and Remedies","If an employee is likely to misuse confidential information, the employer is entitled to an injunction to prevent it. For past misuse, the employer is entitled to damages. To protect information, employers should use NDAs, mark documents as confidential, restrict access, have proper security, and remind departing employees of their obligations.","non-disclosure agreement, employer protection, injunction, damages, remedies"
123,"Labour Act.pdf",177,"Case Law","Apprentices Act, 1961 - Preference in Recruitment","In UP State Road Transport Corpn v. UP Parivahan Nigam Shishukh Berozgar Sangh, it was held that, all other things being equal, a trained apprentice should be given preference over direct recruits for employment. They need not be sponsored by an employment exchange.","case law, Apprentices Act, preference, recruitment, trained apprentice"
124,"Labour Act.pdf",177,"Case Law","Contract Labour Act, 1970 - Automatic Absorption","In Steel Authority of India v. National Union Water Front, it was held that even if a notification abolishing contract labour is issued, the employees of the contractor will not be automatically absorbed by the principal employer if the contract was genuine. However, preference should be given to them. If the contract was a camouflage, they are to be treated as employees of the principal employer.","case law, Contract Labour Act, absorption, genuine contract, preference, camouflage"
125,"Labour Act.pdf",178,"Case Law","Employees Provident Funds Act, 1952 - Consumer Protection","In RPFC v. Shiv Kumar Joshi, it was held that the Regional Provident Fund Commissioner is providing a 'service' under the EPF Act and is therefore liable under the Consumer Protection Act for deficiencies in service.","case law, EPF Act, consumer protection act, service, RPFC"
126,"Labour Act.pdf",178,"Case Law","Payment of Gratuity Act, 1972 - Nature of Gratuity","In Delhi Cloth & General Mills Co. Ltd. v. Its Workmen, the Supreme Court observed that 'Gratuity' in its etymological sense means a gift, especially for services rendered, or a return for favours received. It is not based on legal liability but on a bounty for long service.","case law, Payment of Gratuity Act, definition, gift, long service"
127,"Labour Act.pdf",179,"International Labour Organization (ILO)","Structure and Purpose","The ILO is a specialized UN agency that deals with labour issues, with headquarters in Geneva. It has a unique tripartite governing structure, representing governments, employers, and workers. Its main aims are to promote rights at work, encourage decent employment, enhance social protection, and strengthen dialogue on work-related issues.","ILO, International Labour Organization, tripartite, rights at work, social protection"
128,"Labour Act.pdf",180,"Authorities in India","Ministry of Labour and Employment","The Ministry of Labour and Employment is the apex body in the Government of India for formulating and administering laws and regulations relating to labour. Its objectives include labour policy, safety, health, welfare, social security, industrial relations, and adjudication of disputes.","authorities, Ministry of Labour, apex body, policy, administration"
129,"Labour Act.pdf",182,"Authorities in India","Chief Labour Commissioner (Central)","The Organisation of the Chief Labour Commissioner (CLC), known as the Central Industrial Relations Machinery (CIRM), was set up in 1945. It is charged with the prevention and settlement of industrial disputes, enforcement of labour laws, and promoting worker welfare in undertakings under the Central Government's sphere.","authorities, Chief Labour Commissioner, CLC, CIRM, enforcement, dispute settlement"
130,"Labour Act.pdf",184,"Authorities in India","Labour Courts and Industrial Tribunals","Most labour disputes are referred to Labour Courts/Industrial Tribunals by the appropriate Government. These courts adjudicate disputes. Labour Courts handle matters like the legality of an employer's order under standing orders and dismissal of workmen. Industrial Tribunals handle broader issues like wages, bonus, and rules of discipline.","authorities, Labour Court, Industrial Tribunal, adjudication, jurisdiction, award"
131,"Labour Act.pdf",186,"Labour Law Across the World","United Kingdom","UK labour law, also called 'employment law', is largely statute-based, including the Employment Rights Act 1996. It has developed rapidly due to a strong trade union movement and EU membership. It outlaws discrimination on grounds of sex, race, disability, sexual orientation, religion, and age.","world labour law, United Kingdom, UK, employment law, statute, discrimination"
132,"Labour Act.pdf",188,"Labour Law Across the World","China","China's basic labour laws are the Labour Law of 1994 and the Labour Contract Law of 2008. The 2008 law entitles employees with 10+ years of service to contracts protecting them from dismissal without cause and requires employer contributions to social security. The only legal labour union is the government-controlled All China Federation of Trade Unions.","world labour law, China, Labour Contract Law, dismissal, social security, union"
133,"Labour Act.pdf",189,"Labour Law Across the World","United States of America","US labour law is a mix of state and federal laws. Federal law, like the National Labor Relations Act, governs the right to organize in the private sector. The Fair Labor Standards Act (FLSA) establishes minimum wage and overtime rights. Both federal and state laws protect against employment discrimination.","world labour law, United States, USA, federal law, state law, NLRA, FLSA, discrimination"
134,"Labour Code Reforms 2020",,"New Labour Code Reforms (General)","Overview and Consolidation","The Indian government has consolidated 29 central labour laws into four new codes: The Code on Wages, 2019; The Industrial Relations Code, 2020; The Code on Social Security, 2020; and The Occupational Safety, Health and Working Conditions (OSH) Code, 2020, aiming to simplify compliance and expand worker protections.","new labour codes, consolidation, code on wages, industrial relations code, social security code, OSH code"
135,"Labour Code Reforms 2020",,"New Labour Code Reforms (General)","Implementation Status (as of Aug 2025)","As of August 2025, the new labour codes have been passed by Parliament but their final implementation is pending. While the central government and most states have published draft rules, the nationwide rollout is anticipated to begin in the 2025-26 financial year.","implementation, status, 2025, draft rules, rollout"
136,"Labour Code Reforms 2020",,"Code on Wages, 2019","Uniform Definition of Wages","A major modification in the new codes is a uniform and standardized definition of 'wages' across all four codes. This contrasts with the multiple, inconsistent definitions in old laws and is expected to increase benefit amounts for gratuity and PF, which will be calculated on a broader pay component base.","uniform wages, definition, gratuity, provident fund, calculation, code on wages"
137,"Labour Code Reforms 2020",,"Code on Wages, 2019","Universalization of Minimum Wage","Unlike the old Minimum Wages Act which applied only to 'scheduled employments', the new Code on Wages, 2019, extends the right to minimum wages to all employees across both organized and unorganized sectors. It also establishes a national 'floor wage' that states cannot go below.","minimum wage, universalization, floor wage, unorganized sector, code on wages"
138,"Labour Code Reforms 2020",,"Code on Social Security, 2020","Social Security for Gig and Platform Workers","The Code on Social Security, 2020, significantly expands coverage by introducing definitions for 'gig workers' and 'platform workers'. It mandates the creation of a Social Security Fund to provide benefits like insurance and pensions to these previously uncovered categories of workers.","gig workers, platform workers, social security, unorganized sector, social security code"
139,"Labour Code Reforms 2020",,"Industrial Relations Code, 2020","Retrenchment and Closure Threshold","The Industrial Relations Code, 2020, increases the employee threshold for requiring prior government permission for retrenchment, layoffs, or closure from 100 to 300 workers. This provides more flexibility for larger establishments to manage their workforce.","retrenchment, layoff, closure, threshold, 300 workers, industrial relations code"
140,"Labour Code Reforms 2020",,"Industrial Relations Code, 2020","Fixed-Term Employment","The new Industrial Relations Code formally introduces 'Fixed-Term Employment', allowing employers to hire workers directly on contracts for a fixed duration. These employees are entitled to all statutory benefits, including gratuity, on a pro-rata basis for their service period.","fixed-term employment, contract, pro-rata benefits, gratuity, industrial relations code"
141,"Labour Code Reforms 2020",,"Industrial Relations Code, 2020","Strike and Lockout Notice","The Industrial Relations Code, 2020, mandates a 14-day notice for any strike or lockout in all establishments, making the process more stringent. It also introduces the concept of a 'Negotiating Union' for collective bargaining purposes.","strike, lockout, 14-day notice, negotiating union, industrial relations code"
142,"Labour Code Reforms 2020",,"OSH Code, 2020","4-Day Work Week Flexibility","The Occupational Safety, Health and Working Conditions (OSH) Code, 2020, introduces flexibility for a 4-day work week. While the 48-hour weekly limit is retained, companies can voluntarily opt for a schedule of four 12-hour workdays followed by a three-day weekend.","4-day work week, 12-hour shift, flexibility, OSH code, working hours"
143,"Labour Code Reforms 2020",,"OSH Code, 2020","Women's Employment in Night Shifts","The OSH Code, 2020, removes the general prohibition on women working in night shifts (7 PM to 6 AM). It empowers women to be employed in all establishments for all types of work, including at night, provided the employer ensures their safety, health, and their consent is obtained.","women employment, night shift, safety, consent, OSH code"
144,"Labour Code Reforms 2020",,"New Labour Code Reforms (General)","Ease of Compliance and Registration","The new codes aim to simplify compliance by requiring only a single registration, a single license, and a single return for an establishment. The role of the inspector is also redefined as an 'Inspector-cum-Facilitator' to offer advice to employers and workers.","compliance, single registration, single license, ease of business, inspector-cum-facilitator"
